Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,min_age,max_age,scenario,method,mean,lower,upper,attr
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,absolute number,25,110,B,di_coxme,1563.30803944248,970.329127929814,2188.63125521947,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,absolute number,25,110,C,di_gee,714.873424735379,428.924054841228,1000.82279462953,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,absolute number,25,110,C,di_coxme,1036.5664658663,643.386082261841,1451.19305221282,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,age-adjusted rate,25,150,A,di_gee,415.841843804124,249.505106282474,582.178581325772,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,age-adjusted rate,25,150,A,di_coxme,602.970673515979,374.257659423711,844.158942922371,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,age-adjusted rate,25,150,B,di_gee,412.020847224305,247.212508334583,576.829186114026,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,age-adjusted rate,25,150,B,di_coxme,597.430228475242,370.818762501875,836.402319865339,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,age-adjusted rate,25,150,C,di_gee,273.194394639491,163.916636783694,382.472152495286,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,age-adjusted rate,25,150,C,di_coxme,396.131872227261,245.874955175542,554.584621118166,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,crude rate,25,110,A,di_gee,560.450133286738,336.270079972043,784.630186601432,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,crude rate,25,110,A,di_coxme,812.652693265769,504.405119958064,1137.71377057208,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,crude rate,25,110,B,di_gee,555.300391685803,333.180235011482,777.420548360123,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,crude rate,25,110,B,di_coxme,805.185567944414,499.770352517223,1127.25979512218,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,crude rate,25,110,C,di_gee,368.197277811738,220.918366687043,515.476188936432,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,crude rate,25,110,C,di_coxme,533.886052827019,331.377550030564,747.440473957827,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,absolute number,25,110,A,di_gee,48.7087030003195,29.2252218001917,68.1921842004472,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,absolute number,25,110,A,di_coxme,70.6276193504632,43.8378327002876,98.8786670906486,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,absolute number,25,110,B,di_gee,48.6303685376809,29.1782211226086,68.0825159527532,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,absolute number,25,110,B,di_coxme,70.5140343796373,43.7673316839128,98.7196481314922,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,absolute number,25,110,C,di_gee,28.1408771922649,16.8845263153589,39.3972280691708,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,absolute number,25,110,C,di_coxme,40.8042719287841,25.3267894730384,57.1259807002977,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,13.6196097624707,8.17176585748244,19.067453667459,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,19.7484341555826,12.2576487862237,27.6478078178156,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,13.5977063910736,8.15862383464414,19.036788947503,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,age-adjusted rate,25,150,B,di_coxme,19.7166742670567,12.2379357519662,27.6033439738793,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,age-adjusted rate,25,150,C,di_gee,7.86856849236464,4.72114109541878,11.0159958893105,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,age-adjusted rate,25,150,C,di_coxme,11.4094243139287,7.08171164312818,15.9731940395002,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,crude rate,25,110,A,di_gee,16.5945098000223,9.95670588001339,23.2323137200312,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,crude rate,25,110,A,di_coxme,24.0620392100323,14.9350588200201,33.6868548940453,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,crude rate,25,110,B,di_gee,16.567822125585,9.94069327535101,23.194950975819,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,crude rate,25,110,B,di_coxme,24.0233420820983,14.9110399130265,33.6326789149376,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,crude rate,25,110,C,di_gee,9.58728181173704,5.75236908704222,13.4221945364318,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,Deaths,crude rate,25,110,C,di_coxme,13.9015586270187,8.62855363056333,19.4621820778262,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,YLL,absolute number,25,110,A,di_gee,1403.66626356702,842.199758140211,1965.13276899382,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,YLL,absolute number,25,110,A,di_coxme,2035.31608217217,1263.29963721032,2849.44251504104,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,5,nvss,YLL,absolute number,25,110,B,di_gee,1401.40885501973,840.845313011835,1961.97239702761,attributable
